artistName,origin
Pat the Bunny,https://en.wikipedia.org/wiki/Pop_rock
Pat the Bunny,https://en.wikipedia.org/wiki/Plan-It-X_Records
Pat the Bunny,https://en.wikipedia.org/wiki/Guitar
Pat the Bunny,https://en.wikipedia.org/wiki/Brattleboro
Pat the Bunny,https://en.wikipedia.org/wiki/Anarcho-punk
Pat the Bunny,https://en.wikipedia.org/wiki/Saxophone
Pat the Bunny,https://en.wikipedia.org/wiki/Brattleboro
Pat the Bunny,https://en.wikipedia.org/wiki/Hip_hop_music
Pat the Bunny,"https://en.wikipedia.org/wiki/Tucson,_Arizona"
Pat the Bunny,https://en.wikipedia.org/wiki/Anarcho-punk
Pat the Bunny,https://en.wikipedia.org/wiki/Plan-It-X_Records
Pat the Bunny,https://en.wikipedia.org/wiki/Guitar
Pat the Bunny,"https://en.wikipedia.org/wiki/Tucson,_Arizona"
Pat the Bunny,https://en.wikipedia.org/wiki/Anarcho-punk
Pat the Bunny,https://en.wikipedia.org/wiki/Plan-It-X_Records
Pat the Bunny,https://en.wikipedia.org/wiki/Clarinet
Pat the Bunny,"https://en.wikipedia.org/wiki/Tucson,_Arizona"
Pat the Bunny,https://en.wikipedia.org/wiki/Alternative_rock
Pat the Bunny,https://en.wikipedia.org/wiki/Drums
Pat the Bunny,https://en.wikipedia.org/wiki/Banjo
Pat the Bunny,"https://en.wikipedia.org/wiki/Tucson,_Arizona"
Pat the Bunny,https://en.wikipedia.org/wiki/Country_music
Pat the Bunny,https://en.wikipedia.org/wiki/Guitar
Arcade Fire,https://en.wikipedia.org/wiki/Montreal
Arcade Fire,https://en.wikipedia.org/wiki/Indie_rock
Arcade Fire,https://en.wikipedia.org/wiki/Columbia_Records
Arcade Fire,https://en.wikipedia.org/wiki/Win_Butler
Arcade Fire,https://en.wikipedia.org/wiki/Josh_Deu
The Cure,https://en.wikipedia.org/wiki/Crawley
The Cure,https://en.wikipedia.org/wiki/Gothic_rock
The Cure,https://en.wikipedia.org/wiki/Fiction_Records
The Cure,https://en.wikipedia.org/wiki/Robert_Smith_(musician)
The Cure,https://en.wikipedia.org/wiki/Michael_Dempsey
The Flaming Lips,"https://en.wikipedia.org/wiki/Oklahoma_City,_Oklahoma"
The Flaming Lips,https://en.wikipedia.org/wiki/Neo-psychedelia
The Flaming Lips,https://en.wikipedia.org/wiki/Restless_Records
The Flaming Lips,https://en.wikipedia.org/wiki/Wayne_Coyne
The Flaming Lips,https://en.wikipedia.org/wiki/Mark_Coyne_(musician)
The Beths,https://en.wikipedia.org/wiki/Auckland
The Beths,https://en.wikipedia.org/wiki/Indie_rock
The Beths,https://en.wikipedia.org/wiki/Carpark_Records
The Replacements,https://en.wikipedia.org/wiki/Minneapolis
The Replacements,https://en.wikipedia.org/wiki/Punk_rock
The Replacements,https://en.wikipedia.org/wiki/Twin/Tone_Records
The Replacements,https://en.wikipedia.org/wiki/Paul_Westerberg
Fleet Foxes,https://en.wikipedia.org/wiki/Seattle
Fleet Foxes,https://en.wikipedia.org/wiki/Indie_folk
Fleet Foxes,https://en.wikipedia.org/wiki/Sub_Pop
Fleet Foxes,https://en.wikipedia.org/wiki/Robin_Pecknold
Fleet Foxes,https://en.wikipedia.org/wiki/Josh_Tillman
TV on the Radio,"https://en.wikipedia.org/wiki/Brooklyn,_New_York"
TV on the Radio,https://en.wikipedia.org/wiki/Art_rock
TV on the Radio,https://en.wikipedia.org/wiki/Harvest_Records
TV on the Radio,https://en.wikipedia.org/wiki/Tunde_Adebimpe
TV on the Radio,https://en.wikipedia.org/wiki/Gerard_Smith_(musician)
Sufjan Stevens,https://en.wikipedia.org/wiki/Detroit
Sufjan Stevens,https://en.wikipedia.org/wiki/Indie_folk
Sufjan Stevens,https://en.wikipedia.org/wiki/Banjo
Sufjan Stevens,https://en.wikipedia.org/wiki/Asthmatic_Kitty
Superorganism,https://en.wikipedia.org/wiki/London
Superorganism,https://en.wikipedia.org/wiki/Art_pop
Superorganism,https://en.wikipedia.org/wiki/Domino_Recording_Company
Propagandhi,"https://en.wikipedia.org/wiki/Portage_la_Prairie,_Manitoba"
Propagandhi,https://en.wikipedia.org/wiki/Punk_rock
Propagandhi,https://en.wikipedia.org/wiki/G7_Welcoming_Committee_Records
Propagandhi,https://en.wikipedia.org/wiki/Todd_Kowalski
Propagandhi,https://en.wikipedia.org/wiki/John_K._Samson
Radiator Hospital,https://en.wikipedia.org/wiki/Grand_Rapids
Radiator Hospital,https://en.wikipedia.org/wiki/Indie_rock
Radiator Hospital,https://en.wikipedia.org/wiki/Salinas_Records
The Sugarcubes,https://en.wikipedia.org/wiki/Reykjav%C3%ADk
The Sugarcubes,https://en.wikipedia.org/wiki/Alternative_rock
The Sugarcubes,https://en.wikipedia.org/wiki/One_Little_Indian
The Sugarcubes,https://en.wikipedia.org/wiki/Bj%C3%B6rk
Ludwig van Beethoven,https://en.wikipedia.org/wiki/Bonn
Ludwig van Beethoven,https://en.wikipedia.org/wiki/Vienna
Ludwig van Beethoven,https://en.wikipedia.org/wiki/List_of_compositions_by_Ludwig_van_Beethoven
Ludwig van Beethoven,https://en.wikipedia.org/wiki/Johann_van_Beethoven
Mitski,https://en.wikipedia.org/wiki/Mie_Prefecture
Mitski,https://en.wikipedia.org/wiki/Indie_rock
Mitski,https://en.wikipedia.org/wiki/Dead_Oceans
Tom Petty and the Heartbreakers,"https://en.wikipedia.org/wiki/Gainesville,_Florida"
Tom Petty and the Heartbreakers,https://en.wikipedia.org/wiki/Heartland_rock
Tom Petty and the Heartbreakers,https://en.wikipedia.org/wiki/Shelter_Records
Tom Petty and the Heartbreakers,https://en.wikipedia.org/wiki/Tom_Petty
Jeff Rosenstock,https://en.wikipedia.org/wiki/Long_Island
Jeff Rosenstock,https://en.wikipedia.org/wiki/Punk_rock
Jeff Rosenstock,https://en.wikipedia.org/wiki/Singing
Jeff Rosenstock,https://en.wikipedia.org/wiki/Quote_Unquote_Records
Land of Talk,https://en.wikipedia.org/wiki/Indie_rock
Land of Talk,https://en.wikipedia.org/wiki/Dependent_Music
Nina Simone,"https://en.wikipedia.org/wiki/Tryon,_North_Carolina"
Nina Simone,https://en.wikipedia.org/wiki/Carry-le-Rouet
Nina Simone,https://en.wikipedia.org/wiki/Classical_music
Nina Simone,https://en.wikipedia.org/wiki/Bethlehem_Records
Vetiver,https://en.wikipedia.org/wiki/San_Francisco
Vetiver,https://en.wikipedia.org/wiki/Indie_folk
Vetiver,https://en.wikipedia.org/wiki/Loose_Music
Vetiver,https://en.wikipedia.org/wiki/Andy_Cabic
Lucy Dacus,"https://en.wikipedia.org/wiki/Mechanicsville,_Virginia"
Lucy Dacus,https://en.wikipedia.org/wiki/Indie_rock
Lucy Dacus,https://en.wikipedia.org/wiki/Record_producer
Lucy Dacus,https://en.wikipedia.org/wiki/Matador_Records
Punch Brothers,https://en.wikipedia.org/wiki/Brooklyn
Punch Brothers,https://en.wikipedia.org/wiki/Progressive_bluegrass
Punch Brothers,https://en.wikipedia.org/wiki/Nonesuch_Records
Punch Brothers,https://en.wikipedia.org/wiki/Chris_Thile
Punch Brothers,https://en.wikipedia.org/wiki/Bryan_Sutton
The Notorious B.I.G.,https://en.wikipedia.org/wiki/New_York_City
The Notorious B.I.G.,"https://en.wikipedia.org/wiki/Los_Angeles,_California"
The Notorious B.I.G.,https://en.wikipedia.org/wiki/Murder_of_the_Notorious_B.I.G.
The Notorious B.I.G.,https://en.wikipedia.org/wiki/Faith_Evans
The Notorious B.I.G.,https://en.wikipedia.org/wiki/Charli_Baltimore
The Notorious B.I.G.,https://en.wikipedia.org/wiki/C._J._Wallace_(actor)
The Notorious B.I.G.,https://en.wikipedia.org/wiki/Hip_hop_music
The Notorious B.I.G.,https://en.wikipedia.org/wiki/Atlantic_Records_Group
Electric Light Orchestra,https://en.wikipedia.org/wiki/Birmingham
Electric Light Orchestra,https://en.wikipedia.org/wiki/Progressive_pop
Electric Light Orchestra,https://en.wikipedia.org/wiki/Harvest_Records
Electric Light Orchestra,https://en.wikipedia.org/wiki/ELO_Part_II
Electric Light Orchestra,https://en.wikipedia.org/wiki/The_Move
Electric Light Orchestra,https://en.wikipedia.org/wiki/Jeff_Lynne
Electric Light Orchestra,https://en.wikipedia.org/wiki/Roy_Wood
Slowdive,"https://en.wikipedia.org/wiki/Reading,_Berkshire"
Slowdive,https://en.wikipedia.org/wiki/Dream_pop
Slowdive,https://en.wikipedia.org/wiki/Creation_Records
Slowdive,https://en.wikipedia.org/wiki/Mojave_3
Slowdive,https://en.wikipedia.org/wiki/Rachel_Goswell
The Decemberists,"https://en.wikipedia.org/wiki/Portland,_Oregon"
The Decemberists,https://en.wikipedia.org/wiki/Indie_rock
The Decemberists,https://en.wikipedia.org/wiki/Kill_Rock_Stars
The Decemberists,https://en.wikipedia.org/wiki/Colin_Meloy
The Decemberists,https://en.wikipedia.org/wiki/Rachel_Blumberg
Simon & Garfunkel,"https://en.wikipedia.org/wiki/Forest_Hills,_Queens"
Simon & Garfunkel,https://en.wikipedia.org/wiki/Folk_rock
Simon & Garfunkel,https://en.wikipedia.org/wiki/Columbia_Records
Simon & Garfunkel,https://en.wikipedia.org/wiki/Paul_Simon
The Shins,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico"
The Shins,https://en.wikipedia.org/wiki/Indie_rock
The Shins,https://en.wikipedia.org/wiki/Columbia_Records
The Shins,https://en.wikipedia.org/wiki/James_Mercer_(musician)
The Shins,https://en.wikipedia.org/wiki/Jessica_Dobson
Bright Eyes,"https://en.wikipedia.org/wiki/Omaha,_Nebraska"
Bright Eyes,https://en.wikipedia.org/wiki/Indie_folk
Bright Eyes,https://en.wikipedia.org/wiki/Saddle_Creek_Records
